"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,"CONVERSÃO | LEILÃO SEMANAL | LEILÃO NORDESTE coliseu | FUNDO | 04.11.25 + — Cópia",inactive,,,0,,,50,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"INSTITUCIONAL | ENGAJAMENTO | TOPO | INFORMATIVOS | 12.01.26 @",inactive,,,0,,,7.46,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | TRÁFEGO | MEIO | INFORMATIVO | FACEBOOK | COMPRAR | 23.01.26 %",inactive,,,0,,,16.36,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP | COMPRAR | 25.02.26 %",inactive,,,0,,,20,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"TESTE A/B | VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP | COMPRAR | 01.04.26 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"TESTE AB | VENDA DIRETA | CONVERSÃO | FUNDO | WHATSAPP FACEBOOK | VENDER | 01.04.26 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"VENDA DIRETA | CONVERSÃO | FUNDO | COMPRE AGORA | COMPRAR | 08.09.25 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"Nova campanha de Vendas",inactive,,,0,,,25,Daily,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"Catalogo de Vendas - Teste Copart (Vick)",inactive,,,0,,,10,Daily,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,7-AGX-COPART-VEICULOS-SUV-PICAPE,inactive,,,0,,,60,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"9-AGX-COPART-TRAFEGO-Venda Direta-AVARIADOS",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,11-ENGAJAMENTO-REELS-AGX,inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,13-CADASTROS-LEILAO-AGX,inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,14-ENGAJAMENTO-FEED-AGX,inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
